ID,FM_ACC_mean,FM_EFF_mean,FM_RTc_mean,Per ACC,EFF2
4216,0.99,76.98,1.91,99.22,51.96
4219,0.98,67.39,2.07,97.66,47.14
4220,0.94,103.47,1.61,93.75,58.13
4221,0.94,74.88,3.50,93.75,26.81
4222,0.94,54.76,4.41,93.75,21.25
4224,0.97,67.99,1.87,96.88,51.85
4225,0.95,64.59,2.29,95.31,41.70
4226,0.93,60.15,2.67,92.97,34.79
4227,0.96,96.34,1.44,96.09,66.89
4228,0.96,80.08,2.48,96.06,38.79
4229,0.91,91.95,3.34,90.63,27.13
4230,0.53,1434.88,0.31,53.13,171.58
4231,0.75,568.19,7.27,75.20,10.35
4232,0.94,86.52,1.78,93.75,52.73
4233,0.98,80.89,1.54,97.66,63.40
4234,0.93,59.78,2.74,92.97,33.87
4235,0.98,100.15,1.31,98.44,75.16
4236,0.92,99.54,1.79,92.19,51.64
4239,0.97,102.06,1.25,96.88,77.44
4240,0.95,100.73,1.16,94.53,81.82
4241,0.94,107.24,1.65,93.75,56.82
4242,0.97,66.90,1.82,96.88,53.22
4243,0.94,89.22,1.53,93.75,61.42
4244,0.76,121.91,1.29,75.78,58.66
4245,1.00,73.91,1.76,100.00,56.87
4247,0.96,77.48,1.61,96.09,59.58
4248,0.98,92.92,1.13,98.44,87.50
4249,0.97,123.70,0.94,96.85,102.64
4252,0.72,852.26,0.91,71.88,78.75
4256,0.26,97.46,1.88,25.78,13.75
4257,0.95,86.74,1.35,94.53,70.28
4258,0.72,69.37,2.39,71.88,30.07
4259,0.98,65.18,1.83,98.44,53.88
4260,0.98,88.92,1.27,97.66,76.96
4261,0.89,136.98,0.92,89.06,96.59
4262,0.85,89.25,1.99,85.16,42.69
4263,0.97,84.78,5.50,96.88,17.63
4264F,0.95,78.18,1.98,94.53,47.78
4265,0.60,1517.20,13.02,59.52,4.57
4267,0.95,88.91,1.70,94.53,55.74
4268,0.99,97.71,1.30,99.22,76.51
4269,0.95,93.40,1.25,95.31,76.05
4270,0.95,117.50,0.98,94.53,96.83
4271,0.98,97.37,1.22,97.66,80.18
4272,0.96,80.69,1.40,96.09,68.64
4273,0.94,92.35,2.01,93.75,46.58
4275,0.84,152.72,0.75,84.38,112.73
4276,0.94,95.48,1.26,93.65,74.13
4277,0.97,87.44,1.41,96.88,68.56
4278,0.98,134.13,0.82,97.66,119.12
4279,0.95,86.19,1.59,94.53,59.40
4280,0.98,75.24,2.30,97.66,42.43
4281F,0.96,59.57,2.79,96.09,34.45
4282K,0.88,71.15,2.32,87.50,37.70
4283F,0.95,81.54,1.48,94.53,63.95
4284,0.95,53.32,2.54,95.31,37.57
4285,0.99,93.57,1.42,99.22,69.66
4286,1.00,50.69,2.35,100.00,42.52
4287,0.98,86.73,1.45,98.44,67.93
4288,0.98,103.81,1.19,98.44,82.45
4289,0.93,61.99,2.19,92.97,42.40
4291,0.98,63.22,1.91,98.44,51.58
4292F,0.98,57.85,1.96,98.44,50.18
4293,0.85,89.75,1.45,85.43,58.81
4294A,0.96,101.89,1.09,96.09,88.25
4295,0.88,124.09,1.04,87.50,83.95
4296,0.97,68.10,2.11,96.85,45.82
4297,0.87,96.97,1.37,86.72,63.48
4299,0.97,55.69,2.23,96.88,43.43
4301,1.00,84.78,1.34,100.00,74.83
4302,0.99,40.29,5.37,99.22,18.48
4303,0.95,73.77,1.79,95.31,53.20
4304,0.98,74.80,3.11,97.66,31.42
4305,0.98,71.98,1.88,98.05,52.05
4306,0.87,84.97,1.42,87.40,61.47
4307,0.98,78.66,1.43,97.66,68.13
4308,0.96,59.07,2.58,96.06,37.28
4309,0.98,106.80,1.13,97.66,86.17
4312,0.98,85.82,1.56,98.44,63.07
4313,0.96,71.61,2.69,96.09,35.76
4314,0.99,85.17,1.37,99.22,72.66
4315,0.92,77.03,1.66,92.19,55.61
4317,0.92,98.43,1.33,92.19,69.15
4318,0.87,97.24,1.51,86.72,57.61
4319,0.95,64.42,2.41,95.31,39.51
4321,0.95,83.14,1.46,95.31,65.49
4322,0.96,106.08,1.14,96.09,84.59
4323,0.74,123.45,0.99,74.22,75.14
4324,0.95,105.72,1.07,95.31,88.84
4325,0.92,94.48,1.20,92.19,76.85
4326F,0.98,95.99,1.17,97.66,83.22
4327,0.94,108.98,1.06,93.75,88.31
4328,0.98,84.97,1.29,98.44,76.32
4330,0.85,309.39,1.10,85.16,77.16
4331,0.91,108.68,1.19,90.63,76.19
4332,0.98,111.41,1.11,98.44,88.29
4335,0.91,124.01,0.92,91.41,98.89
4338,0.97,75.21,1.73,96.88,56.09
4339,0.95,90.05,1.27,94.53,74.58
4340,0.90,67.56,1.96,90.40,46.15
4341,0.91,136.60,0.87,90.63,104.62
4342,1.00,76.75,1.58,100.00,63.18
4343,0.97,90.79,1.29,96.88,75.16
4344,0.91,125.30,0.94,90.63,96.41
4345,0.99,92.78,1.37,99.22,72.57
4346,0.94,121.93,1.43,93.75,65.58
4348,0.88,111.80,1.48,88.28,59.62
4350,0.92,108.12,1.09,92.19,84.47
4352,0.98,82.26,1.39,98.44,71.03
4353F,0.99,104.08,1.30,99.22,76.53
4355,0.98,71.78,1.51,98.44,65.02
4356,0.99,83.29,1.59,99.22,62.40
4357,0.98,85.87,1.40,97.66,69.81
4358F,0.94,63.84,3.52,93.75,26.60
4360,0.98,82.52,1.54,97.66,63.21
4362,0.98,117.52,0.97,98.44,101.61
4363,0.98,90.14,1.40,98.44,70.46
4364,0.96,72.67,1.73,96.09,55.68
4365,0.95,137.06,0.83,95.31,115.51
4366,0.99,69.83,1.64,99.22,60.56
4368,0.74,137.09,1.13,74.22,65.91
4370,0.91,123.88,0.92,90.63,98.07
4371,0.98,68.57,1.97,98.44,49.87
4372,0.94,99.01,1.33,93.75,70.75
4373,0.98,147.95,0.75,97.66,130.97
4374,0.94,117.27,0.97,93.75,96.66
4375,0.98,84.57,1.42,98.44,69.33
4376,0.96,88.02,1.46,96.09,65.64
4378,0.73,90.71,1.86,73.44,39.40
4382,0.77,109.63,1.28,76.56,59.81
4383,0.73,139.63,0.87,73.44,84.80
4385,0.91,125.64,0.96,90.63,94.19
4386,0.50,961.08,0.17,50.00,290.33
4389,0.95,89.20,1.57,95.31,60.78
4390,0.90,114.93,1.01,89.84,88.59
4394,0.95,107.85,1.11,94.53,85.39
4395,0.95,110.85,1.03,94.53,92.10
4399,0.96,60.43,2.59,96.09,37.15
4400,0.97,74.56,1.93,96.88,50.19
4407,0.98,89.99,1.26,97.66,77.53
4408,0.96,84.45,1.82,96.09,52.74
4413,0.98,75.35,1.60,98.44,61.71
4415,0.83,101.87,1.42,82.81,58.39
4416,0.98,60.39,2.64,98.44,37.28
4417,0.94,79.82,1.50,93.75,62.37
4418,0.96,110.55,1.05,96.09,91.50
4419,0.94,76.73,1.56,94.14,60.51
4421,0.99,82.48,1.97,99.22,50.35
4423,0.95,95.46,1.21,95.31,78.91
4427,0.75,125.59,1.33,75.00,56.57
4428,0.89,139.22,1.11,89.06,79.95
4430,0.98,129.39,0.86,98.44,114.39
4431,0.96,108.14,1.06,96.09,90.63
4432,0.98,58.07,2.74,98.44,35.87
4433,0.93,109.57,1.36,92.97,68.36
4434,0.91,79.48,1.60,91.41,57.17
4435,0.95,109.73,1.36,94.53,69.73
4436,0.83,333.53,0.94,82.81,88.04
4437,0.98,64.90,2.73,97.66,35.83
4440,0.93,92.85,1.54,92.97,60.31
4441,0.92,133.20,1.41,92.19,65.17
4443,0.59,1693.33,0.79,59.38,74.77
4444,0.98,102.60,1.20,98.44,82.10
4447,0.95,120.53,1.01,94.53,93.50
4448,0.99,94.83,1.16,99.22,85.58
4449,0.95,129.18,0.88,94.53,107.67
4450,0.99,102.40,1.12,99.22,88.97
4451,0.98,91.15,1.21,98.44,81.04
4452,0.96,73.89,1.76,96.09,54.71
4453,0.96,91.23,1.68,96.09,57.08
4454,0.71,105.80,1.20,71.09,59.11
4455,0.99,108.16,1.18,99.22,84.29
4456,0.99,86.73,1.66,99.22,59.85
4457,0.94,81.21,1.96,94.44,48.29
4458,0.98,90.60,1.39,97.66,70.17
4459,0.98,85.81,1.37,98.44,71.93
4460,0.99,94.28,1.94,99.22,51.05
4461,0.81,155.48,1.04,81.25,78.18
4462,0.80,93.16,1.55,79.69,51.48
4463,0.95,86.95,1.52,94.53,62.36
4465,0.95,120.60,1.01,94.53,93.79
4466,0.98,88.43,1.59,97.66,61.34
4469,0.73,130.65,1.99,73.44,36.93
4475,0.95,122.83,2.02,94.53,46.90
4476,0.97,90.81,1.54,96.88,62.80
4478,0.98,75.03,1.84,97.66,52.95
4482,0.56,1600.68,0.59,56.25,95.77
4483,0.76,177.74,0.60,75.78,126.31
4485,0.89,109.11,1.66,89.06,53.59
4488,0.95,113.20,2.55,94.53,37.00
4489,0.50,2176.14,0.56,50.39,89.40
4490,0.70,175.76,0.78,69.53,88.79
4491,0.93,101.42,1.17,92.97,79.37
4492,0.95,60.76,2.10,95.31,45.31
4494,0.99,91.89,1.52,99.22,65.29
4498,0.96,91.75,1.34,96.09,71.83
4499,0.92,84.19,1.84,92.19,50.16
4500,0.97,78.01,1.61,96.88,60.25
4502,0.91,104.73,1.38,91.41,66.27
4505,0.95,92.13,1.40,94.53,67.52
4506,0.97,96.96,1.18,96.88,81.77
4507,0.91,88.64,1.43,90.63,63.48
4508,0.98,98.67,1.18,97.66,82.63
4509,0.93,103.23,1.23,92.97,75.83
4513,0.92,56.54,5.22,92.19,17.67
4514,0.95,84.25,1.55,94.53,60.92
4515,0.59,61.74,2.19,58.59,26.76
4517,0.98,67.30,1.88,97.66,52.06
4518,0.93,87.79,1.42,92.97,65.69
4521,0.95,85.90,1.33,95.31,71.45
4524,0.97,82.88,1.92,96.88,50.56
4535,0.96,67.95,2.06,95.70,46.45
4536,0.89,124.59,1.37,89.06,65.18
4537,0.98,109.26,1.15,98.44,85.37
4539,0.93,98.08,1.29,92.97,72.09
4540,0.91,98.47,1.11,91.41,82.65
4542,0.99,88.43,1.33,99.22,74.65
4545,0.99,52.84,3.32,99.22,29.87
4546,0.80,128.39,0.90,80.47,89.19
4548,0.88,245.76,1.59,88.28,55.52
4549,0.95,54.46,2.70,95.31,35.34
4553,0.96,117.27,0.95,96.09,101.68
4554,0.95,74.64,1.72,94.53,55.07
4556,0.94,97.35,1.19,93.75,78.47
4558,0.77,95.68,1.23,77.34,62.71
4559,0.88,111.68,0.98,88.28,89.84
4562,0.58,472.83,0.69,57.81,83.83
4563,0.84,77.15,1.72,83.59,48.59
4564,0.99,92.02,1.16,99.22,85.87
4568,0.97,72.29,1.83,96.88,52.97
4569,0.92,77.54,1.87,92.19,49.26
4571,0.86,74.91,1.77,85.94,48.55
4572,0.92,77.36,1.64,92.13,56.22
4573,0.87,89.27,1.53,87.40,57.04
4579,0.95,78.03,1.58,95.31,60.27
4583,0.95,70.64,1.94,95.31,49.03
4585,0.97,124.02,0.95,96.88,101.88
4588,0.95,70.65,1.77,95.31,53.84
4592,0.89,85.05,1.42,89.06,62.69
4595,0.74,107.05,1.33,74.22,55.70
4604,0.95,95.56,1.19,94.53,79.31
4616,0.94,109.83,1.02,93.75,91.77
4617,0.97,103.48,1.27,96.88,76.51
4632,0.88,118.29,1.92,87.50,45.54
4636,0.91,117.61,1.09,90.63,83.52
4637,0.91,112.70,1.20,90.63,75.64
4642,1.00,46.58,4.05,100.00,24.68
4643,0.88,114.90,1.13,88.28,78.17
4644,0.94,103.46,1.06,93.75,88.20
4645,0.98,70.91,1.99,98.44,49.41
4648,0.78,285.52,1.80,78.13,43.34
4652,0.99,109.56,1.29,99.21,76.68
4656,0.95,96.34,1.47,95.31,64.66
46571,0.96,78.63,1.97,96.09,48.84
4659,0.91,96.12,1.34,91.41,67.98
4661,0.95,111.33,1.11,95.28,86.07
4662,0.94,82.21,1.37,94.49,68.81
4665,0.98,92.79,1.25,98.44,79.01
4667,0.92,128.87,0.90,92.19,102.29
4668,0.96,76.36,1.78,96.09,54.07
4669,0.74,192.18,0.60,74.12,122.84
4672,0.97,83.13,1.79,96.86,54.12
4673,0.92,102.90,1.07,92.19,86.05
4675,0.88,91.68,1.46,88.28,60.46
4676,0.95,83.83,1.39,95.31,68.45
4681,0.96,135.70,0.81,96.09,118.22
4683,0.74,332.58,0.93,74.02,79.72
4684,0.94,112.05,1.07,93.75,87.43
4686,0.98,81.03,1.68,98.29,58.55
4689,0.84,113.19,1.26,84.38,66.78
4691,0.94,80.52,1.81,93.75,51.86
4693,0.99,69.07,2.14,99.22,46.40
4697,0.74,148.33,0.79,74.22,94.09
4698,0.98,99.19,1.12,98.44,88.07
4703,0.92,99.17,1.12,92.19,82.11
4704,0.84,124.03,1.91,83.59,43.69
4705,0.83,117.18,0.98,82.81,84.28
4707,0.96,114.04,1.02,96.09,94.41
4708,0.90,111.55,1.01,89.84,89.25
4709,0.94,96.25,1.26,93.75,74.60
4711,0.94,79.02,4.36,93.75,21.49
4712,0.98,104.71,1.21,97.66,80.44
4714,0.91,114.25,1.02,91.41,89.96
4716,0.97,73.19,1.70,96.88,57.11
4717,0.96,84.57,1.43,96.09,67.39
4718,0.98,86.15,1.28,98.44,76.90
4720,0.98,74.80,1.69,97.66,57.85
4722,0.95,79.10,1.55,95.31,61.64
4723,0.95,82.55,1.63,95.31,58.52
4725,0.98,80.90,1.41,98.44,70.04
4726,0.94,93.52,1.39,94.49,68.12
4727,0.90,89.98,1.48,89.84,60.74
4728,0.95,96.34,1.16,95.31,82.38
4729,0.98,99.75,1.54,98.44,63.76
4730,0.95,130.42,0.86,94.53,109.40
4731,0.91,101.64,1.09,91.41,83.70
4733,0.98,86.18,1.90,97.66,51.33
4737,0.76,363.86,0.70,75.78,109.02
4739,0.91,100.33,1.17,91.41,78.14
4740,0.91,105.76,1.39,91.41,65.95
4742,0.97,88.02,1.28,96.88,75.79
4744,0.91,104.92,1.17,90.63,77.26
4746B,0.95,100.82,1.14,95.31,83.82
4748,0.94,45.88,2.92,93.75,32.09
4750,0.98,78.72,2.11,98.44,46.67
4752,1.00,100.87,1.39,100.00,72.17
4753,0.91,92.19,1.21,91.41,75.63
4754B,0.96,101.69,1.08,96.09,89.21
4755B,0.99,79.60,1.61,99.22,61.55
4756B,0.94,124.26,0.91,93.75,102.91
4758,0.96,128.42,0.86,96.09,112.11
4759,0.95,133.39,0.83,94.53,113.79
4760,0.95,63.10,2.09,95.31,45.70
4761,0.96,82.18,1.35,96.09,71.06
4763B,0.95,110.86,1.20,95.31,79.36
4764,0.95,135.11,0.89,95.31,107.12
4765,0.93,125.27,0.96,92.97,97.26
4766,0.95,100.99,1.07,95.31,89.36
4767,0.72,363.99,0.83,71.88,86.72
4768B,0.89,103.14,1.24,89.06,71.63
4769B,0.97,88.38,1.38,96.88,70.38
4770,0.95,69.69,1.75,95.31,54.44
4772,0.79,148.44,1.09,78.91,72.34
4773,0.92,82.54,1.75,92.19,52.75
4775,0.97,67.86,1.76,96.88,55.01
4777,0.96,101.50,1.07,96.09,89.73
4779,0.88,163.06,0.66,87.50,132.03
4780,0.96,102.09,1.14,96.09,84.42
4781,0.98,68.39,2.31,97.66,42.19
4782,0.97,106.77,1.03,96.88,93.62
4783,0.95,96.95,1.21,94.53,77.98
4784,0.97,109.55,1.05,96.88,92.66
4785,0.94,94.21,1.26,93.75,74.49
4786,1.00,77.11,1.38,100.00,72.42
4788,0.76,130.45,0.80,75.78,94.77
4789,0.95,152.15,0.76,95.31,125.90
4790,0.76,1738.47,1.83,75.59,41.38
4791,0.91,125.13,1.00,91.41,91.13
4793,0.91,96.00,1.19,90.63,76.40
4795,0.91,120.81,0.91,91.34,100.86
4796,0.98,141.80,0.74,97.66,131.31
4799,0.96,104.59,1.51,96.09,63.43
4800,0.97,106.12,1.08,96.88,89.65
4801,0.98,73.71,1.99,97.66,48.96
4802,0.95,127.87,0.93,95.31,102.03
4803,0.98,102.26,1.17,98.44,83.87
4805,0.96,130.84,0.87,96.09,110.51
4806,0.97,98.38,1.19,96.88,81.72
4807,0.95,122.55,0.97,94.53,97.85
4808,1.00,73.77,2.17,100.00,46.04
4809,0.96,131.54,0.85,96.09,112.46
4810,0.97,101.05,1.10,96.88,87.96
4812,0.98,115.33,1.08,97.64,90.04
4813,0.98,90.95,1.29,97.66,75.49
4815,0.82,140.66,0.92,82.03,89.26
4816,0.70,177.77,0.67,70.31,104.35
4817,0.47,1204.65,1.25,47.24,37.68
4818,0.76,109.20,1.31,75.78,57.68
4819,0.73,127.69,1.10,73.44,66.47
4821,0.51,678.76,0.64,50.78,78.84
4822,0.98,61.24,1.83,98.44,53.83
4823,0.48,2375.77,0.77,47.66,62.26
4824I ,0.92,112.79,1.04,92.19,88.83
4825,0.97,73.27,1.85,96.88,52.28
4826,0.98,94.63,1.19,97.66,82.06
4827,0.95,80.00,1.61,95.31,59.10
4828,0.87,117.42,1.08,86.72,80.51
4830,0.98,75.67,1.58,98.44,62.41
4833,0.75,185.03,0.62,75.00,120.85
4834,0.95,98.20,1.13,94.53,83.89
4835,0.95,116.97,0.95,95.31,99.92
4836,0.96,123.27,0.88,96.09,109.75
4837,0.90,105.83,1.09,89.84,82.18
4838,0.88,141.64,0.83,87.50,105.05
4839,0.96,106.85,1.02,96.09,93.86
4841,0.98,125.47,0.89,97.66,109.75
4842,1.00,93.98,1.23,100.00,81.58
4845,0.98,89.38,1.25,98.44,79.04
4846,0.91,112.83,1.03,90.63,87.80
4847,0.85,143.87,0.83,85.16,102.00
4848,0.98,102.55,1.08,98.44,90.82
4849,0.86,152.83,1.21,85.71,70.62
4850,0.88,147.59,0.82,87.50,106.97
4851,0.93,124.20,0.88,92.97,105.68
4852,0.96,75.50,2.59,96.09,37.10
4854,0.97,83.90,1.39,96.88,69.83
4855,0.94,94.81,1.20,93.75,77.93
4856,0.99,112.20,1.00,99.22,99.22
4857,0.94,97.37,1.22,93.75,76.99
4858,0.88,73.47,2.53,87.50,34.62
4859,0.98,102.61,1.08,97.66,90.75
4860,0.88,173.47,3.62,88.28,24.35
4861,0.88,96.19,1.23,88.28,71.72
4862,0.98,89.67,1.33,97.66,73.24
4863,0.95,103.31,1.18,95.31,80.67
4864,0.91,87.42,1.49,90.63,61.02
4866,0.90,121.97,1.05,89.84,85.85
4868,0.98,73.71,3.45,97.66,28.28
4869,0.98,77.65,1.63,98.44,60.28
4870,0.98,283.74,1.48,97.66,65.95
4871,0.95,97.98,1.66,94.53,56.80
4872,0.51,1135.90,3.26,51.18,15.72
4873,0.55,925.50,0.59,55.47,94.22
4876,0.74,126.07,1.04,74.02,70.91
4878,0.95,97.67,1.15,94.53,82.35
4879F ,0.88,75.15,2.41,88.28,36.68
4880,0.98,87.91,1.20,98.44,82.15
4883,0.94,89.07,1.46,93.75,64.03
4884,0.95,85.37,1.46,94.53,64.84
4885,0.97,102.00,1.49,96.88,64.82
4886,0.99,64.23,1.71,99.22,58.11
4887,0.98,126.74,0.86,97.66,114.21
4888,0.99,51.85,3.23,99.22,30.69
4895,0.94,143.03,1.67,93.75,56.17
4896,0.98,99.37,1.23,98.44,80.30
4897,0.98,95.38,1.18,98.44,83.77
4898,0.96,108.95,1.09,95.70,87.43
4899,0.95,104.90,1.12,95.31,84.77
4900,1.00,70.33,1.53,100.00,65.16
4901,0.96,111.40,1.06,96.09,90.75
4902,0.99,86.44,2.14,99.22,46.41
4903,0.99,69.07,1.67,99.22,59.33
4904,0.96,102.51,1.07,96.09,89.96
4906,1.00,75.17,1.54,100.00,65.02
4907,0.93,70.11,1.89,92.97,49.21
4908,0.96,100.91,1.20,96.09,80.07
4909,0.99,117.46,0.98,99.22,101.65
4910,0.98,99.52,1.06,97.66,92.10
4911,0.96,129.09,0.99,96.09,96.98
4912,0.94,113.76,1.00,93.75,94.06
4913,0.91,104.37,1.09,91.41,83.50
4914,1.00,58.61,2.15,100.00,46.44
4917,0.97,89.31,1.23,96.88,78.90
4919,0.96,90.91,1.25,96.09,77.02
4921,0.80,94.89,2.05,80.47,39.32
4922,0.99,80.41,1.40,99.22,70.99
4924,0.95,93.39,1.18,95.31,80.89
4926,0.98,120.16,0.98,98.44,100.18
4928,0.99,72.39,1.98,99.22,50.24
4929,0.80,154.66,0.71,80.47,114.05
4930,0.98,80.73,1.52,97.66,64.26
4931,0.70,161.64,0.69,69.53,101.44
4932,1.00,50.21,2.60,99.61,38.32
4933,0.98,87.48,1.35,98.40,73.15
4934,0.95,101.78,1.15,95.31,83.11
4935,0.93,97.15,1.14,92.86,81.81
4937,0.94,90.58,1.20,93.75,78.39
4940,0.98,88.85,1.33,97.66,73.52
4941,0.98,78.97,1.42,98.44,69.54
4942,0.90,116.83,0.97,89.84,92.22
4943,0.97,85.48,1.24,96.88,78.13
4944,0.97,106.34,1.32,97.10,73.68
4945,0.85,112.79,1.20,85.16,71.17
4946,0.94,127.23,0.89,94.12,105.92
4947,0.98,44.59,4.73,98.44,20.82
4948,0.99,101.55,1.10,99.22,89.84
4950,0.98,72.64,1.93,98.44,51.04
4952,0.99,78.41,1.40,99.16,70.67
4954,1.00,86.91,1.24,100.00,80.59
4955,0.91,105.34,1.36,91.41,67.35
4956,0.92,121.01,0.96,92.19,95.94
4957,0.98,114.00,1.00,98.44,98.71
NA,0.89,154.73,1.45,89.21,61.69