,ID,PreScore
1,4036,11
2,4216,7
3,4217,5
4,4219,9.5
5,4224,3.5
6,4225,2
7,4226,6
8,4227,5
9,4228,8
10,4229,9
11,4230,8.5
12,4232,8
13,4233,8
14,4234,6
15,4235,4
16,4236,7
17,4239,5
18,4240,3
19,4241,12
20,4242,9.5
21,4243,14
22,4244,6
23,4245,15
24,4246,13
25,4247,8.5
26,4248,11
27,4249,12.5
28,4251,2.5
29,4252,6
30,4253,7
31,4254,4
32,4255,13
33,4256,5.5
34,4257,6
35,4258,11.5
36,4259,8
37,4260,9.5
38,4261,16
39,4263,8.5
40,4264,13.5
41,4264F,3
42,4265,8.5
43,4267,10
44,4268,11.5
45,4269,7.5
46,4270,5
47,4271,13
48,4272,13
49,4273,14
50,4275,14
51,4276,15
52,4277,8.5
53,4278,11.5
54,4279,24
55,4280,6.5
56,4281,24.5
57,4282A,7
58,4282K,11
59,4283,6
60,4283F,7
61,4284,7
62,4285,13.5
63,4286,11.5
64,4287,7
65,4288,12
66,4289,6
67,4290,14
68,4291,10
69,4291F,8.5
70,4292BM,5.5
71,4292F,8
72,4292R,10.5
73,4293,6
74,4293F,6
75,4294,3.5
76,4294F,9
77,4295,12.5
78,4296,6.5
79,4297,5.5
80,4299,4
81,4300,5
82,4301,10
83,4302,4
84,4303,5
85,4304,9
86,4305,7
87,4307,6
88,4308,7.5
89,4309,9
90,4310,7
91,4311,6.5
92,4312,7
93,4313,9
94,4314,7
95,4315,12.5
96,4316,8
97,4317,10
98,4318,7
99,4319,8
100,4321,7
101,4322,5.5
102,4324,15.5
103,4325,10.5
104,4326,5
105,4326F,9
106,4327,12
107,4328,14
108,4329,10
109,4330,8
110,4332,12
111,4334,10
112,4335,11
113,4337,16
114,4338,15
115,4339,7
116,4341,11
117,4342,14.5
118,4343,5
119,4344,14
120,4345,6.5
121,4346,7.5
122,4347,13
123,4348,9
124,4350,10
125,4352,14
126,4353,10
127,4353F,8
128,4355,14.5
129,4356,10
130,4357,8
131,4358,14
132,4358F,7.5
133,4359,15
134,4360,9.5
135,4362,10
136,4363,15
137,4364,16
138,4365,13
139,4366,14.5
140,4367,15
141,4370,8
142,4371,9.5
143,4372,6
144,4373,14
145,4374,13
146,4375,12
147,4376,9
148,4379,8
149,4380,6
150,4381,10
151,4382,6.5
152,4383,7.5
153,4384,9
154,4385,15
155,4386,5
156,4389,6
157,4390,12
158,4391,8
159,4392,10
160,4393,5.5
161,4394,12
162,4395,15
163,4396,8
164,4397,5.5
165,4399,6.5
166,4400,5.5
167,4401,12
168,4404,9
169,4406,9
170,4407,7.5
171,4408,4.5
172,4410,10.5
173,4411,8.5
174,4413,13
175,4414,10
176,4416,4.5
177,4419,5
178,4420,6
179,4421,2
180,4423,13
181,4424,6
182,4426,9
183,4427,13
184,4428,15
185,4429,9
186,4430,11
187,4431,10.5
188,4432,10
189,4433,13
190,4434,9
191,4435,12
192,4436,13
193,4437,8.5
194,4438,11
195,4440,8
196,4441,7
197,4442,7.5
198,4443,16
199,4446,10.5
200,4447,11
201,4448,14
202,4449,9
203,4450,12
204,4451,10
205,4452,12
206,4453,7.5
207,4454,5.5
208,4455,8.5
209,4456,9
210,4457,7
211,4458,13
212,4459,9
213,4460,4
214,4461,14
215,4463,7
216,4464,6
217,4465,9
218,4467,6
219,4472,6
220,4476,7
221,4478,6.5
222,4479,7
223,4480,8.5
224,4482,8.5
225,4483,7.5
226,4484,6
227,4485,7
228,4488,5.5
229,4490,4
230,4492,6
231,4494,14
232,4495,7.5
233,4498,5.5
234,4499,6.5
235,4500,13.5
236,4501,6
237,4502,9.5
238,4503,7
239,4505,7
240,4506,9
241,4507,7
242,4508,5.5
243,4509,5
244,4510,7.5
245,4513,3.5
246,4514,7
247,4515,4.5
248,4517,14.5
249,4518,7.5
250,4520,3
251,4521,7.5
252,4522,7.5
253,4524,9
254,4527,7.5
255,4531,6
256,4533,7
257,4535,8
258,4536,9
259,4537,11
260,4539,6
261,4540,11
262,4541,10.5
263,4542,4
264,4543,9
265,4545,5
266,4546,14
267,4548,11.5
268,4549,6
269,4550,9
270,4553,7
271,4554,6
272,4558,7
273,4559,5
274,4560,6
275,4562,8
276,4563,9
277,4564,12
278,4566,10
279,4568,6.5
280,4569,5.5
281,4571,11
282,4572,7
283,4573,7
284,4574,8.5
285,4578,8
286,4579,15
287,4581,14
288,4581F,8.5
289,4583,6.5
290,4585,9
291,4586,8
292,4588,4
293,4589,9
294,4591,4
295,4592,12
296,4595,8
297,4598,9
298,4599,10
299,4600,13.5
300,4601,10
301,4602,6
302,4604,4.5
303,4606,8.5
304,4607,8.5
305,4608,5.5
306,4609,4.5
307,4610,6.5
308,4611,9.5
309,4613,5.5
310,4616,4
311,4617,6.5
312,4619,9
313,4620,5
314,4623,7
315,4626,9
316,4627,7.5
317,4631,6.5
318,4632,8.5
319,4635,9.5
320,4636,11
321,4637,12.5
322,4639,9
323,4642,7
324,4643,9
325,4645,6.5
326,4646,10
327,4648,9
328,4650,8
329,4652,7
330,4653,7.5
331,4653F,6
332,4656,5.5
333,4657,13.5
334,4659,9.5
335,4660,6.5
336,4663,6
337,4664,8
338,4665,10
339,4666,13
340,4667,9
341,4668,14
342,4668C,8.5
343,4669,12.5
344,4670,15
345,4672,12.5
346,4673,7
347,4676,13
348,4677,3.5
349,4678,13
350,4681,9
351,4683,8.5
352,4684,15
353,4686,3
354,4691,6.5
355,4693,3
356,4697,4.5
357,4698,7
358,4702,6.5
359,4703,6
360,4704,6
361,4707,9
362,4710,9
363,4712,8
364,4714,12
365,4716,5.5
366,4717,9.5
367,4718,7
368,4720,8
369,4722,7.5
370,4723,12.5
371,4725,14
372,4726,9
373,4727,6
374,4728,8
375,4729,5
376,4730,9
377,4731,9
378,4733,6
379,4736,7.5
380,4737,5.5
381,4739,7.5
382,4740,9
383,4742,8
384,4743,5.5
385,4746,6
386,4746B,7.5
387,4748,7.5
388,4750,6
389,4752,16
390,4753,4
391,4753B,15
392,4754,2.5
393,4754B,6
394,4755,5.5
395,4755B,7.5
396,4756,6.5
397,4756B,14
398,4758,8
399,4759,11
400,4760,7
401,4761,7
402,4762,7.5
403,4763,8
404,4763B,10
405,4764,21.5
406,4765,4
407,4766,9
408,4767,11
409,4768,24
410,4769,14.5
411,4770,10
412,4771,15.5
413,4773,4
414,4775,5
415,4777,8
416,4778,8
417,4779,8.5
418,4780,15
419,4781,16
420,4782,6
421,4783,8
422,4784,9
423,4785,14
424,4786,10
425,4787,3.5
426,4788,7
427,4789,11
428,4791,5.5
429,4793,7.5
430,4795,14
431,4796,9
432,4799,5
433,4800,9
434,4801,6
435,4802,13
436,4803,13
437,4805,4.5
438,4806,12.5
439,4807,9
440,4808,15
441,4809,13.5
442,4810,7
443,4812,12.5
444,4813,11
445,4815,9
446,4816,7
447,4817,5.5
448,4818,7
449,4819,3
450,4820,4
451,4821,8
452,4822,8
453,4824,13
454,4825,5
455,4826,6.5
456,4827,8
457,4828,13
458,4829,10
459,4830,12
460,4831,9
461,4832,5
462,4833,4.5
463,4834,8
464,4835,11
465,4836,11
466,4837,8
467,4838,11
468,4839,9.5
469,4842,10
470,4845,9
471,4846,14.5
472,4847,9
473,4848,6
474,4849,6.5
475,4850,4
476,4852,6.5
477,4855,8.5
478,4856,8
479,4857,4.5
480,4858,6.5
481,4859,6
482,4860,6
483,4861,8.5
484,4862,14
485,4863,8.5
486,4864,5
487,4866,7
488,4868,8
489,4869,14
490,4870,6.5
491,4871,6
492,4873,6
493,4874,6
494,4878,16
495,4879,24
496,4880,11.5
497,4883,9
498,4884,16
499,4885,13
500,4886,7
501,4887,12
502,4888,15
503,4891,5
504,4892,7.5
505,4895,15
506,4896,15
507,4897,14
508,4898,19.5
509,4899,20.5
510,4900,14.5
511,4901,14.5
512,4902,9
513,4903,7.5
514,4904,15
515,4906,13
516,4907,7
517,4908,15
518,4909,15
519,4910,11
520,4911,15
521,4912,12.5
522,4913,8
523,4914,14.5
524,4917,16
525,4919,13
526,4920,8.5
527,4921,8
528,4922,10.5
529,4923,11
530,4924,14.5
531,4926,14
532,4927,12