"","X","ID","Gender","Q01","Q02","Q03","Q04","Q05","Q06","Q07","Q08","Q09","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","score"
"1",1,"4217","Male",3,2,3,4,3,4,5,1,3,4,1,5,2,1,1,1,2,3,5,54
"2",2,"4216","Male",1,2,3,2,3,2,3,2,3,2,4,2,3,1,1,1,1,1,1,40
"3",3,"4232","Male",4,5,4,4,5,4,3,3,3,3,3,3,3,3,4,4,4,4,4,73
"4",4,"4233","Male",5,5,5,5,5,5,5,5,4,5,4,5,4,4,3,3,3,4,4,87
"5",5,"4235","Male",5,5,5,5,3,3,2,4,4,5,4,5,4,4,5,5,5,4,4,86
"6",6,"4230","Female",1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,73
"7",7,"4420","Male",4,5,4,5,4,3,3,3,3,3,4,3,4,4,5,4,5,5,5,83
"8",8,"4421","Male",5,5,4,5,5,2,1,3,1,1,3,1,1,1,5,3,4,5,2,65
"9",9,"4234","Female",5,3,1,4,2,5,3,1,4,2,5,3,5,3,1,3,2,5,3,69
"10",10,"4219","Male",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,105
"11",11,"4229","Female",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,106
"12",12,"4236","Male",5,4,5,5,4,5,5,5,5,4,5,1,5,1,5,3,5,5,5,94
"13",13,"4227","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"14",14,"4228","Female",5,5,5,5,5,1,1,1,1,1,3,1,5,1,3,4,5,5,5,76
"15",15,"4224","Female",5,5,3,5,5,4,4,3,3,3,5,1,4,1,4,5,5,5,5,90
"16",16,"4226","Female",5,5,5,5,NA,1,1,5,1,1,1,1,1,1,5,4,5,5,5,73
"17",17,"4225","Female",5,2,5,5,NA,5,5,1,1,1,4,1,5,2,5,4,5,5,5,83
"18",18,"4254","Female",4,5,3,5,4,3,3,1,2,1,4,3,3,4,3,4,5,5,4,84
"19",19,"4267","Female",3,5,2,4,5,5,5,1,5,5,3,5,5,1,5,3,5,5,5,96
"20",20,"4255","Female",5,5,5,5,3,1,1,1,1,1,3,1,3,1,3,5,5,5,5,79
"21",21,"4261","Female",5,4,5,5,4,3,3,3,3,3,4,2,1,3,5,4,5,4,4,91
"22",22,"4246","Male",3,3,5,4,4,1,1,1,1,1,3,3,3,3,3,3,5,4,5,78
"23",23,"4251","Female",3,4,5,4,5,1,4,2,3,4,3,3,5,4,4,2,3,4,4,90
"24",24,"4241","Male",5,5,5,5,5,1,1,1,1,1,3,1,3,3,4,4,5,5,5,87
"25",25,"4247","Male",4,5,4,4,5,1,1,1,1,1,3,3,1,1,5,4,5,5,5,84
"26",26,"4256","Female",5,5,5,5,5,3,5,3,5,5,5,5,5,5,3,5,5,5,5,115
"27",27,"4253","Female",5,4,4,5,5,2,2,3,3,3,5,5,4,4,4,2,5,5,4,101
"28",28,"4263","Female",4,4,4,5,4,5,5,4,3,1,5,3,5,2,5,3,5,5,5,105
"29",29,"4244","Male",3,4,3,5,4,1,1,4,3,2,5,5,5,4,3,3,5,4,4,97
"30",30,"4252","Female",5,4,3,5,5,2,5,3,3,3,3,3,3,3,4,4,4,4,4,100
"31",31,"4257","Female",5,4,5,5,4,5,5,5,3,3,5,3,3,2,4,4,5,5,5,111
"32",32,"4264F","Female",3,3,3,5,2,1,1,1,1,1,3,1,3,1,5,4,5,5,5,85
"33",33,"4259","Female",5,5,5,5,5,4,4,3,3,4,4,4,5,2,5,4,5,5,5,115
"34",34,"4242","Male",2,2,5,5,4,3,1,1,3,3,5,4,5,5,3,3,4,3,4,99
"35",35,"4265","Female",3,2,3,2,3,3,4,5,3,3,3,4,2,4,3,2,4,3,4,95
"36",36,"4282A","Male",2,5,5,5,5,4,5,5,5,5,5,5,1,5,5,5,5,5,5,123
"37",37,"4276","Male",5,5,5,5,4,2,1,1,1,1,2,1,1,1,5,4,5,4,5,95
"38",38,"4272","Female",5,5,3,5,5,1,1,1,1,1,3,1,3,1,3,1,5,5,3,91
"39",39,"4284","Female",3,4,2,3,4,2,1,3,2,2,4,2,2,2,3,4,4,2,2,90
"40",40,"4292F","Female",3,5,5,5,5,3,3,2,1,1,4,1,5,5,5,4,5,4,4,110
"41",41,"4280","Male",4,5,5,5,5,4,4,5,5,5,5,5,5,5,3,5,5,5,5,131
"42",42,"4294F","Female",5,4,5,5,5,2,2,2,1,1,2,1,3,1,5,4,5,4,5,104
"43",43,"4287","Female",5,5,5,5,5,3,3,2,1,1,2,2,2,1,2,2,5,5,5,104
"44",44,"4275","Male",4,5,5,5,4,2,1,1,3,3,5,2,5,4,5,5,5,5,4,117
"45",45,"4273","Male",4,5,5,4,5,4,3,4,1,1,3,1,4,4,5,5,5,5,5,118
"46",46,"4289","Female",4,5,4,3,5,5,5,3,5,3,4,5,4,4,3,3,4,3,4,122
"47",47,"4291F","Female",4,5,5,5,5,5,4,2,2,2,5,1,5,4,4,3,5,5,4,122
"48",48,"4277","Male",3,NA,3,5,5,2,2,1,1,2,3,3,1,1,4,4,4,4,4,100
"49",49,"4286","Female",3,3,3,5,5,1,1,1,1,1,1,1,1,1,3,3,3,3,3,92
"50",50,"4285","Female",5,5,5,5,5,3,3,3,3,3,3,3,3,3,4,4,5,4,5,124
"51",51,"4270","Male",5,5,3,5,4,5,4,3,5,5,5,5,5,3,4,3,5,4,5,134
"52",52,"4293F","Female",3,5,5,5,5,5,3,1,1,2,3,3,5,5,5,3,3,5,5,124
"53",53,"4243","Female",3,5,3,5,5,3,1,1,3,1,5,1,5,3,3,3,3,5,5,116
"54",54,"4271","Male",5,5,5,5,3,2,2,5,1,1,4,1,3,4,4,4,5,5,5,123
"55",55,"4264","Male",4,5,5,5,5,2,2,2,2,2,3,1,4,4,3,2,4,4,5,119
"56",56,"4268","Female",3,3,5,3,3,1,5,1,1,1,5,3,3,5,3,1,3,5,5,115
"57",57,"4258","Male",5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,5,145
"58",58,"4249","Female",5,5,4,5,5,3,3,4,3,3,5,1,3,3,5,4,4,5,5,133
"59",59,"4240","Male",3,1,1,3,1,5,3,3,3,3,5,1,5,5,3,3,3,1,3,114
"60",60,"4260","Male",5,5,4,4,4,2,2,2,1,1,3,1,4,3,4,3,5,5,5,123
"61",61,"4269","Female",4,4,3,5,4,4,4,3,3,3,5,5,5,5,4,3,4,4,5,138
"62",62,"4248","Female",5,5,4,5,5,4,2,3,1,1,3,2,3,2,5,4,5,5,4,130
"63",63,"4290","Male",3,4,4,5,4,2,1,1,2,2,3,3,3,3,4,5,5,5,5,127
"64",64,"4283","Male",3,2,2,5,3,2,3,1,1,2,3,4,1,1,2,3,4,5,4,115
"65",65,"4288","Male",4,4,5,5,4,2,1,1,2,1,5,3,3,2,4,5,4,5,5,130
"66",66,"4321","Female",3,3,5,5,3,1,1,1,1,1,3,1,3,1,3,3,5,5,3,117
"67",67,"4300","Female",3,5,5,5,4,1,1,3,3,2,1,1,2,2,4,3,5,5,5,127
"68",68,"4304","Male",5,5,4,4,5,4,2,4,3,4,5,5,4,3,5,3,4,3,3,143
"69",69,"4303","Female",5,3,5,3,3,3,2,2,3,3,5,4,5,5,3,3,5,4,5,140
"70",70,"4312","Male",3,3,3,4,4,4,4,2,5,3,2,3,3,2,2,1,4,3,3,128
"71",71,"4322","Female",4,3,5,4,5,4,2,1,1,2,5,4,4,3,3,4,3,4,3,135
"72",72,"4313","Female",3,2,4,5,2,1,2,2,2,2,3,1,2,3,4,3,3,4,2,122
"73",73,"4315","Male",5,5,5,5,5,3,5,1,1,1,5,1,2,3,5,5,5,5,5,145
"74",74,"4319","Female",4,5,5,4,5,5,3,4,5,4,5,2,5,5,4,3,4,4,4,154
"75",75,"4318","Female",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
"76",76,"4296","Female",3,3,1,5,3,3,5,3,5,3,5,1,5,1,3,3,3,5,3,139
"77",77,"4308","Female",5,5,4,5,5,3,3,2,3,5,5,5,5,3,3,3,3,4,3,151
"78",78,"4036","Male",3,3,3,4,2,1,3,2,3,3,2,2,3,2,3,4,2,4,3,130
"79",79,"4307","Female",5,5,4,4,5,3,3,3,3,3,3,1,3,2,4,4,5,5,5,149
"80",80,"4301","Female",5,5,3,5,5,5,4,3,2,2,5,1,5,5,5,5,5,5,5,160
"81",81,"4294","Male",3,5,2,4,3,5,5,1,5,5,5,5,5,5,3,2,3,3,5,155
"82",82,"4299","Male",4,3,4,5,4,5,5,3,5,4,5,4,4,4,4,4,5,5,5,164
"83",83,"4309","Male",5,5,5,5,5,1,3,5,1,1,5,1,1,4,5,5,5,5,5,155
"84",84,"4302","Female",4,5,4,5,4,4,4,5,2,2,3,3,5,4,5,4,5,2,2,156
"85",85,"4278","Male",3,3,2,4,2,1,1,2,1,1,2,1,3,1,4,2,4,4,3,129
"86",86,"4291","Male",3,4,4,3,3,4,2,1,1,3,5,1,1,3,4,2,5,5,5,145
"87",87,"4282K","Male",4,5,3,3,4,5,3,4,3,5,5,5,5,3,3,2,3,4,5,161
"88",88,"4293","Male",4,4,5,5,4,5,5,4,3,5,4,5,4,3,4,4,4,4,5,169
"89",89,"4443","Male",3,3,3,5,5,4,4,3,3,3,5,2,5,5,3,3,5,5,5,163
"90",90,"4327","Male",3,5,5,5,5,3,2,3,4,4,5,3,4,3,4,4,5,5,5,167
"91",91,"4330","Male",3,3,5,5,5,1,3,3,5,1,3,2,4,5,3,4,5,4,5,160
"92",92,"4337","Male",5,5,5,5,5,1,2,3,4,4,5,1,3,4,5,5,5,5,5,169
"93",93,"4343","Female",4,5,4,5,5,1,1,1,1,1,3,2,4,2,5,5,5,5,5,157
"94",94,"4328","Male",3,3,3,5,3,1,1,1,2,1,2,1,1,1,4,4,5,5,5,145
"95",95,"4324","Male",5,5,5,5,5,5,5,3,2,2,2,3,4,5,4,4,5,5,5,174
"96",96,"4348","Female",5,5,5,5,5,5,3,1,3,3,4,3,2,3,4,4,5,5,5,171
"97",97,"4338","Female",4,5,4,5,4,3,4,3,4,4,5,3,5,4,5,4,4,5,4,176
"98",98,"4332","Male",4,4,4,4,4,1,1,1,1,1,1,1,1,1,3,3,4,4,4,145
"99",99,"4346","Female",3,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,3,165
"100",100,"4347","Female",4,4,4,5,5,4,4,5,5,4,3,3,3,2,4,4,5,5,5,178
"101",101,"4339","Female",3,5,3,5,4,3,4,2,2,1,3,2,3,3,4,4,5,4,5,166
"102",102,"4353","Male",3,5,3,4,5,5,5,3,4,5,5,3,5,4,3,2,4,3,3,176
"103",103,"4367","Female",5,5,5,5,5,5,3,1,1,1,1,1,1,3,5,5,5,5,5,170
"104",104,"4365","Female",3,5,3,5,3,1,1,1,2,1,3,1,4,1,4,2,5,5,5,159
"105",105,"4357","Male",4,5,5,4,5,5,5,3,5,5,5,5,5,5,3,2,5,5,5,191
"106",106,"4373","Female",5,5,5,5,5,4,4,3,3,3,4,3,3,2,3,2,3,4,3,175
"107",107,"4359","Male",4,3,3,5,5,2,2,3,2,2,3,2,3,1,4,3,5,5,4,168
"108",108,"4352","Male",5,4,4,5,5,3,2,2,3,1,5,5,4,4,3,3,5,4,4,179
"109",109,"4362","Male",3,4,4,5,4,2,2,2,1,1,3,2,4,4,4,4,3,3,3,167
"110",110,"4363","Female",5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,203
"111",111,"4366","Female",5,5,5,3,5,1,3,1,1,3,3,1,3,1,3,3,5,5,5,172
"112",112,"4356","Male",5,4,5,5,5,3,3,3,4,4,5,3,5,5,4,3,4,3,4,189
"113",113,"4364","Female",3,4,3,5,4,2,1,1,1,2,3,2,4,3,5,4,4,4,4,172
"114",114,"4355","Male",4,3,4,5,4,2,2,2,2,2,5,1,4,4,3,3,3,3,2,172
"115",115,"4325","Male",4,4,3,3,5,1,1,1,1,2,4,3,2,3,5,5,5,5,5,177
"116",116,"4342","Female",5,5,3,5,5,1,1,1,1,1,4,3,2,2,3,4,3,5,4,174
"117",117,"4391","Male",4,4,3,3,3,1,1,2,2,2,5,3,4,5,4,3,3,3,3,175
"118",118,"4393","Female",4,4,4,5,5,3,3,2,1,4,4,3,5,4,3,3,3,4,4,186
"119",119,"4390","Male",4,5,5,3,5,2,2,1,1,1,5,3,1,3,4,5,5,4,5,183
"120",120,"4385","Male",4,3,4,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,202
"121",121,"4384","Female",5,5,5,5,5,3,2,2,1,1,3,2,3,1,5,5,5,5,5,189
"122",122,"4392","Female",4,5,5,5,5,5,4,4,3,3,4,1,5,4,4,4,5,5,4,201
"123",123,"4380","Female",4,5,4,5,5,4,4,3,3,3,4,1,5,5,5,5,5,5,5,203
"124",124,"4386","Male",5,5,5,5,5,3,2,1,1,1,2,2,1,1,4,3,5,5,5,185
"125",125,"4394","Female",5,5,5,5,5,3,4,3,2,2,4,3,5,3,5,5,5,5,5,204
"126",126,"4383","Male",5,5,5,5,5,1,5,1,3,3,1,1,1,3,3,2,5,5,5,190
"127",127,"4382","Female",5,4,3,5,4,5,5,4,2,4,4,5,2,5,2,3,5,5,3,202
"128",128,"4379","Female",4,3,4,5,4,2,2,3,3,3,3,3,3,4,4,5,5,5,5,198
"129",129,"4376","Male",5,5,5,5,5,3,3,3,3,3,5,3,5,5,5,5,5,5,5,212
"130",130,"4404","Female",4,3,2,5,5,4,2,2,2,4,5,3,5,2,3,4,5,5,5,200
"131",131,"4410","Female",4,3,4,5,5,2,2,2,2,3,3,2,4,2,4,4,3,4,4,193
"132",132,"4411","Female",3,3,3,5,4,1,1,1,1,1,1,1,3,1,3,1,3,3,3,174
"133",133,"4406","Male",4,5,5,4,5,4,5,4,4,3,4,2,NA,4,4,4,3,5,5,207
"134",134,"4400","Female",4,4,4,5,3,3,1,1,1,1,2,5,4,4,3,3,4,4,5,195
"135",135,"4396","Female",4,5,5,5,5,2,2,1,1,1,2,3,3,2,4,4,5,4,5,198
"136",136,"4407","Male",5,5,4,5,5,2,2,1,2,1,3,3,5,5,5,4,4,5,5,207
"137",137,"4399","Male",3,4,4,5,5,4,4,2,2,3,2,2,4,4,4,3,5,5,4,206
"138",138,"4413","Female",2,3,4,4,5,1,1,1,1,2,3,1,5,2,4,4,5,4,4,194
"139",139,"4401","Male",4,5,4,5,5,2,3,2,1,4,5,4,5,1,4,4,5,5,5,212
"140",140,"4397","Female",5,5,5,5,4,2,1,1,1,1,2,2,5,2,4,3,5,5,4,202
"141",141,"4416","Female",5,5,5,5,5,2,1,1,1,1,2,1,3,2,4,4,5,4,4,201
"142",142,"4429","Female",4,5,4,5,5,3,3,2,1,2,3,2,1,1,4,4,5,4,4,204
"143",143,"4442","Female",5,5,5,5,5,3,3,3,1,1,5,1,5,1,5,3,5,5,5,214
"144",144,"4428","Male",3,4,4,5,4,4,4,4,4,4,5,4,5,4,4,3,3,3,3,218
"145",145,"4424","Male",5,4,5,5,5,3,4,3,2,3,4,1,3,2,3,5,5,5,5,217
"146",146,"4433","Male",5,5,5,5,5,1,1,1,1,1,5,3,4,1,4,5,5,4,5,212
"147",147,"4283F","Female",5,5,5,5,5,3,3,2,1,1,3,1,1,1,3,3,2,2,2,200
"148",148,"4423","Male",5,5,5,5,5,3,2,1,2,2,5,2,3,2,3,3,5,5,5,216
"149",149,"4436","Female",4,5,3,5,5,2,1,1,1,1,3,3,2,3,4,4,4,5,5,210
"150",150,"4430","Female",4,5,5,5,5,1,1,3,1,1,4,2,4,1,5,5,5,5,5,217
"151",151,"4431","Female",4,3,3,2,4,1,1,1,1,1,1,1,1,1,2,1,4,5,3,191
"152",152,"4441","Female",3,4,4,3,4,1,3,3,3,3,4,3,3,3,3,2,3,4,3,211
"153",153,"4437","Female",5,3,3,5,5,2,2,1,2,2,3,3,2,1,3,3,3,5,5,211
"154",154,"4434","Female",5,3,3,4,5,2,2,2,1,1,3,1,3,2,2,2,3,2,3,203
"155",155,"4427","Female",5,5,3,5,5,3,3,3,3,1,5,5,5,5,5,5,3,5,5,234
"156",156,"4426","Female",5,5,4,5,5,2,1,1,1,1,2,1,2,1,4,4,4,5,4,213
"157",157,"4440","Male",2,3,4,2,5,1,1,1,1,1,3,2,4,1,5,2,5,3,3,206
"158",158,"4446","Male",5,4,5,5,5,3,3,4,3,4,5,1,3,4,1,3,3,5,3,227
"159",159,"4432","Female",4,5,3,4,3,2,1,3,1,2,3,2,3,3,3,2,4,3,2,212
"160",160,"4438","Female",4,4,4,5,5,1,1,1,1,1,1,1,1,1,2,1,4,3,4,205
"161",161,"4449","Female",5,3,5,5,5,2,2,2,4,4,2,2,4,5,5,5,5,5,5,236
"162",162,"4435","Female",3,2,5,4,3,2,1,3,2,1,3,2,3,1,4,3,2,3,3,212
"163",163,"4448","Female",4,5,5,5,3,2,1,2,3,3,3,1,3,1,4,3,5,5,5,226
"164",164,"4455","Female",2,2,3,4,5,1,1,1,1,1,1,1,1,4,4,2,4,5,4,211
"165",165,"4451","Female",5,5,5,5,5,2,1,3,1,1,3,2,3,5,5,5,5,5,5,236
"166",166,"4447","Female",5,5,5,5,5,3,2,2,2,2,5,3,5,5,3,3,5,5,5,241
"167",167,"4459","Female",4,4,3,5,5,1,1,1,1,1,2,4,3,3,5,5,5,5,5,230
"168",168,"4457","Female",3,4,5,4,5,4,4,3,2,2,4,4,3,4,4,3,5,4,4,239
"169",169,"4456","Female",4,4,4,5,4,2,3,2,2,2,3,2,3,3,4,4,4,5,3,232
"170",170,"4454","Female",5,1,3,3,3,1,3,3,1,1,4,1,1,3,3,5,3,5,3,222
"171",171,"4458","Female",4,5,3,5,3,4,3,2,2,2,5,1,5,4,5,4,5,5,5,243
"172",172,"4460","Female",5,4,5,5,5,2,2,1,2,1,3,2,2,2,3,3,4,5,4,232
"173",173,"4450","Female",3,4,3,5,5,3,3,3,2,2,3,4,4,4,4,4,4,4,4,241
"174",174,"4453","Female",2,3,4,4,2,1,1,1,3,3,1,1,1,1,3,4,4,4,4,221
"175",175,"4452","Female",5,5,5,4,5,1,5,1,1,1,1,1,3,1,5,5,5,5,5,239
"176",176,"4239","Male",3,3,5,5,5,3,1,1,1,2,4,2,5,3,5,5,4,4,4,241
"177",177,"4408","Female",3,4,3,5,3,2,2,1,1,1,1,1,2,2,3,4,5,4,4,228
"178",178,"4490","Male",4,3,5,4,3,4,1,3,1,1,5,2,4,5,5,5,5,5,5,248
"179",179,"4465","Male",4,5,3,5,4,3,3,2,1,3,5,4,5,5,4,3,5,5,4,252
"180",180,"4467","Male",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,275
"181",181,"4472","Female",1,1,1,5,3,3,1,1,1,1,3,1,5,1,3,5,4,3,1,225
"182",182,"4507","Male",5,5,5,5,5,2,2,2,2,3,4,3,5,3,5,5,5,5,5,258
"183",183,"4518","Female",2,2,2,4,3,1,1,1,1,1,2,2,1,2,4,3,5,4,4,228
"184",184,"4503","Female",5,3,5,3,5,3,1,3,3,1,3,1,3,5,5,5,5,3,3,249
"185",185,"4479","Female",5,5,5,5,5,5,5,3,5,5,5,3,5,5,3,3,5,5,5,272
"186",186,"4524","Female",3,5,5,5,3,1,1,1,1,1,3,2,1,1,5,3,5,5,3,240
"187",187,"4485","Male",5,5,4,5,3,5,5,5,4,5,5,4,5,5,3,5,5,4,5,274
"188",188,"4476","Female",4,5,5,5,5,3,1,2,2,5,5,2,5,1,4,5,5,5,5,262
"189",189,"4483","Male",4,4,5,4,4,3,4,4,5,5,5,4,5,4,4,3,5,5,5,271
"190",190,"4510","Male",4,5,3,4,4,3,3,4,1,1,3,1,3,1,4,3,4,4,3,248
