U_ID,ID,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q31,Q32,Average
A2,4242,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1
A108,4452,1,4,1,1,3,5,4,1,5,4,1,5,4,1,2,5,5,5,1,5,1,5,1,1,1,2.88
A280,4754,1,3,4,4,4,4,4,5,4,4,3,4,3,3,3,3,4,3,3,5,4,4,4,4,4,3.64
A327,4784,1,3,4,3,1,4,4,3,2,2,3,3,4,4,2,5,4,2,1,4,4,3,1,5,4,3.04
A323,2919,1,1,1,1,1,1,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.16
A34,4271,2,2,5,4,4,4,1,4,5,4,5,5,5,3,3,4,5,5,4,4,5,5,5,5,5,4.12
A41,4278,2,2,3,3,3,4,4,2,5,4,3,3,3,3,2,4,3,3,3,4,5,3,2,4,4,3.24
A39,4291,2,4,5,5,4,4,4,4,2,2,3,2,4,4,1,3,3,2,2,5,5,4,3,4,4,3.4
A146,4360,2,4,4,4,4,4,4,3,1,3,4,3,1,3,2,2,4,2,3,4,4,4,2,4,4,3.16
A309,4295,2,2,2,3,3,3,4,2,1,3,4,2,5,4,3,2,4,2,3,4,4,4,3,4,4,3.08
A346,4838,2,3,4,3,4,4,4,4,4,4,1,2,2,3,1,4,1,2,4,4,4,3,4,4,3,3.12
A351,4850,2,3,4,4,4,4,4,3,3,4,2,3,2,3,4,3,3,2,4,4,4,4,3,4,4,3.36
A392,4880,2,3,5,5,5,5,5,4,3,4,5,4,3,2,2,5,5,5,5,5,5,5,5,5,5,4.28
A393,4913,2,3,5,4,3,4,4,4,4,4,3,3,4,4,5,4,5,4,3,5,4,5,3,4,4,3.88
A4,4254,3,4,5,4,5,5,4,3,5,4,5,5,4,4,3,4,5,5,NA,5,4,5,5,5,5,4.41666666666667
A20,4277,3,4,5,4,5,4,5,4,4,2,3,4,4,4,2,3,4,3,NA,5,5,4,3,5,5,3.91666666666667
A29,4268,3,3,4,5,3,4,3,3,5,5,5,5,3,4,3,5,5,5,4,4,5,5,4,5,5,4.2
A26,4243,3,4,4,4,2,4,4,3,3,3,4,3,4,4,5,4,4,4,4,4,4,4,3,5,4,3.76
A36,4240,3,4,2,4,4,3,3,3,1,1,3,1,3,2,3,2,2,2,NA,4,3,NA,3,4,4,2.78260869565217
A49,4321,3,4,4,4,2,4,3,5,5,3,4,4,4,5,3,4,4,5,5,4,5,4,3,3,5,3.96
A50,4294,3,3,3,4,4,4,4,4,4,4,5,5,4,3,3,4,5,4,3,4,5,4,4,5,4,3.96
A58,4313,3,3,3,3,3,4,3,3,4,4,4,4,3,4,4,4,4,3,4,4,4,3,3,4,4,3.56
A56,4302,3,3,4,4,5,5,5,5,3,4,4,5,4,4,5,4,5,4,4,5,5,5,4,5,5,4.36
A51,4318,3,4,3,3,3,4,4,3,4,5,5,5,3,4,4,4,4,4,3,4,5,4,4,4,5,3.92
A70,4362,3,4,4,3,4,4,4,3,3,4,5,5,4,3,4,4,5,4,4,5,5,5,4,5,5,4.12
A94,4400,3,4,4,4,4,4,4,3,3,4,4,4,4,4,3,5,4,4,4,4,5,4,4,4,5,3.96
A98,4408F,3,4,4,5,4,4,4,3,3,5,4,4,4,3,4,4,4,4,4,5,5,4,4,5,5,4.08
A103,4435,3,3,2,3,4,4,4,2,4,3,5,4,4,4,4,5,4,4,4,3,3,4,3,5,3,3.64
A110,4457,3,4,4,4,4,5,5,4,3,4,4,4,3,4,4,5,4,3,4,4,4,4,5,4,4,4
A123,4377,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,5,5,4,5,5,4.04
A122,4382,3,3,4,4,4,4,3,3,3,2,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,3.6
A206,4381,3,2,4,3,2,4,4,2,3,3,4,3,2,3,4,3,2,2,5,5,4,3,4,4,4,3.28
A115,4391,3,3,3,4,3,4,3,4,2,3,3,3,3,4,3,3,4,3,3,4,4,2,3,4,4,3.28
A142,4431,3,3,3,4,3,4,4,3,3,5,5,5,5,3,4,4,5,4,4,4,4,4,4,3,4,3.88
A143,4432,3,4,3,4,3,4,3,3,1,3,3,4,4,3,2,4,4,3,4,4,3,4,4,4,3,3.36
A162,45719,3,2,4,2,2,4,4,2,2,2,3,4,3,3,3,3,3,2,3,4,4,4,2,4,4,3.04
A161,4558,3,5,4,4,4,5,4,4,4,4,5,3,4,4,3,3,4,4,4,4,4,4,4,4,4,3.96
A170,4551,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,5,5,4,5,5,4.24
A165,4550,3,4,4,4,3,4,3,4,3,4,3,4,4,4,5,4,5,4,4,4,5,4,4,5,5,4
A182,4467,3,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4.12
A175,4475,3,3,4,4,4,4,4,4,4,3,5,4,3,3,3,3,4,4,2,5,4,4,3,3,5,3.68
A177,4485,3,3,4,4,5,4,3,5,5,2,5,5,4,4,4,3,5,4,3,5,5,5,4,5,5,4.16
A204,4509,3,4,4,4,4,4,4,3,5,4,4,4,4,5,5,5,5,4,5,5,5,4,4,4,4,4.24
A201,4518,3,3,4,4,5,3,4,4,2,2,3,3,3,3,5,3,3,4,3,4,4,4,3,3,4,3.44
A189,4499,3,3,4,3,4,4,4,3,5,3,1,4,2,4,4,3,4,4,4,4,4,1,2,4,5,3.44
A183,4504,3,4,4,4,4,4,4,4,3,4,5,4,4,4,4,4,5,3,4,4,4,4,3,5,5,4
A203,4501,3,3,4,3,4,4,3,3,5,3,4,5,3,3,3,4,5,3,3,5,4,4,4,5,5,3.8
A207,4374,3,4,4,3,4,4,3,4,4,4,5,4,4,5,2,4,3,4,4,4,5,4,4,4,4,3.88
A214,4316,3,3,4,4,3,4,3,3,4,3,4,5,3,3,3,4,4,3,2,3,3,4,4,3,4,3.44
A216,4305,3,3,4,4,4,4,2,3,2,4,3,3,2,4,4,4,4,4,3,4,3,4,2,4,3,3.36
A213,4326,3,3,4,4,4,4,4,4,2,3,3,5,4,4,2,4,5,5,4,5,5,5,5,5,5,4.04
A209,4314,3,3,3,4,4,5,4,4,3,3,4,4,2,3,4,2,5,4,4,4,5,4,5,5,5,3.84
A223,4702,3,2,4,4,4,4,4,4,2,3,4,3,3,3,2,3,3,2,2,4,3,2,2,3,3,3.04
A233,4734,3,5,4,5,4,5,4,4,4,4,4,5,3,5,4,4,4,4,5,5,4,4,4,5,5,4.28
A242,4762,3,3,4,4,3,4,4,2,3,4,4,4,3,4,3,4,5,4,2,5,4,5,3,5,4,3.72
A248,4755B,3,1,3,1,3,4,3,3,3,4,5,5,5,3,4,5,3,4,3,4,5,4,4,5,4,3.64
A241,4739B,3,5,5,5,3,5,3,3,3,5,5,3,3,5,3,4,5,3,3,5,5,1,3,5,5,3.92
A264,4599,3,3,5,4,4,4,5,4,4,4,5,4,3,4,4,4,5,4,3,4,5,4,4,5,4,4.08
A259,4592,3,3,5,4,5,5,4,4,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,4.64
A254,4617,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,3,5,4,4,3,5,5,3.84
A263,4615,3,4,4,4,5,4,3,3,4,3,5,4,3,4,3,5,4,4,4,4,3,4,4,4,2,3.76
A283,4743,3,3,4,3,5,3,4,5,5,5,5,5,4,3,4,4,5,3,5,5,4,5,3,4,5,4.16
A286,4737,3,3,4,4,3,5,4,5,2,4,5,4,3,3,3,3,4,3,2,3,4,4,3,3,3,3.48
A281,4748,3,3,4,3,4,3,3,5,4,5,3,4,5,3,3,5,4,5,5,5,4,4,4,4,5,4
A277,4756,3,4,5,4,4,4,3,5,3,5,4,5,5,5,3,5,5,4,5,5,5,4,5,5,3,4.32
A284,4739,3,3,3,3,4,4,3,3,3,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3.6
A291,4235,3,4,4,5,5,5,3,5,5,4,5,5,5,4,4,5,4,5,5,5,3,4,5,5,4,4.44
A306,4668,3,4,5,4,5,3,4,5,4,4,4,4,4,5,4,4,4,4,3,4,4,5,3,5,4,4.08
A307,4656,3,3,3,3,4,4,3,3,3,3,3,4,4,5,2,3,5,3,5,5,5,5,5,4,5,3.8
A322,4782,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,3,4,5,4,4,3,4,4,3.88
A325,4787,3,4,4,4,3,4,4,3,3,3,3,2,3,4,4,3,4,3,3,4,4,4,4,4,5,3.56
A324,4785,3,5,5,5,2,5,4,3,5,4,5,5,4,5,2,5,5,5,4,5,5,5,4,5,5,4.4
A321,8291,3,1,4,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,3,2,1,1,2,1.56
A339,4803,3,3,4,4,3,4,4,3,2,3,2,4,2,3,3,4,4,3,3,4,4,3,3,4,4,3.32
A338,4806,3,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3.92
A337,4795,3,4,4,4,4,4,3,4,5,2,5,4,3,4,1,3,4,4,4,3,5,5,5,5,5,3.88
A342,4833,3,4,5,4,3,4,5,3,4,3,3,3,3,3,3,5,5,3,3,5,5,4,3,5,5,3.84
A347,4829,3,3,5,4,3,4,3,2,4,3,4,4,4,4,2,3,4,3,3,4,4,3,4,4,4,3.52
A349,4830,3,3,3,3,5,3,3,4,5,4,5,5,4,4,4,5,4,2,4,5,5,3,5,5,5,4.04
A353,4855,3,2,3,4,3,2,4,2,3,5,3,2,1,3,1,5,3,3,4,4,2,3,4,5,4,3.12
A362,4874,3,4,3,4,4,4,3,4,4,4,4,3,3,3,4,4,4,4,4,5,5,3,5,5,5,3.92
A373,4914,3,3,5,4,4,5,4,4,4,5,5,5,4,5,3,5,5,5,5,5,5,5,5,5,5,4.52
A384,4922,3,5,5,4,4,4,3,4,5,4,4,4,4,4,4,5,4,5,2,5,5,5,4,5,5,4.24
A389,4909,3,4,4,4,4,5,5,4,5,3,5,4,3,4,5,4,3,4,5,4,4,5,4,4,4,4.12
A396,4921,3,3,4,4,5,4,3,4,4,5,5,5,3,4,4,4,4,4,5,5,5,5,5,5,4,4.24
A397,4902,3,4,4,4,4,3,5,4,4,4,4,4,4,5,2,3,4,3,2,5,5,4,2,5,5,3.84
A375,4926,3,3,4,3,3,2,3,3,3,4,3,3,2,2,3,3,4,5,5,4,3,4,5,2,2,3.24
A394,4907,3,4,4,4,4,4,4,3,4,5,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,3.84
A400,4946,3,4,5,5,4,3,4,2,3,5,5,5,5,5,5,4,5,5,4,5,5,4,5,5,5,4.4
A401,4956,3,4,3,4,3,4,4,3,3,2,5,4,5,4,4,3,4,4,2,5,4,3,4,4,5,3.72
A10,4262,4,3,5,5,4,5,5,4,5,3,5,4,3,4,4,5,5,4,NA,5,5,5,5,5,5,4.45833333333333
A1,4246,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,3,2,4,NA,4,4,4,4,4,4,3.70833333333333
A9,4261,4,4,NA,5,4,4,5,4,3,5,4,4,2,3,4,4,4,5,NA,5,5,4,4,4,5,4.1304347826087
A8,4251,4,3,4,4,NA,NA,NA,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.625
A15,4272A,4,4,4,3,4,4,5,3,5,4,5,5,5,5,5,5,5,5,NA,5,5,5,4,5,5,4.54166666666667
A17,4289,4,4,4,4,4,5,4,3,4,4,4,4,4,3,5,4,4,3,NA,4,4,4,3,3,4,3.875
A25,4286,4,3,3,3,4,4,4,4,3,3,3,4,3,3,3,4,4,4,NA,4,4,4,4,4,4,3.625
A16,4284,4,4,3,4,4,4,4,5,3,4,4,4,3,4,4,3,3,3,NA,4,3,4,3,4,5,3.75
A14,4276,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,5,NA,5,5,5,5,5,5,4.5
A24,4285,4,4,5,5,4,5,4,4,4,4,4,4,4,4,4,5,5,4,NA,4,4,5,5,4,5,4.33333333333333
A33,4264,4,4,4,4,5,4,4,4,3,5,3,3,4,5,4,4,5,4,5,5,5,4,4,5,5,4.24
A32,4258,4,4,5,5,5,4,5,4,5,4,5,5,5,4,4,5,5,4,4,5,5,5,4,5,5,4.6
A27,4248,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.88
A35,4274,4,4,5,4,4,4,4,4,4,4,5,5,3,4,4,5,5,5,5,5,4,4,5,5,4,4.36
A30,4260,4,5,5,5,5,5,5,5,4,5,5,5,4,4,4,5,5,5,4,5,5,5,4,5,5,4.72
A31,4269,4,4,4,5,5,5,4,4,2,3,3,5,4,3,3,4,4,3,3,4,5,4,4,5,5,3.96
A43,4293,4,4,4,4,4,3,4,4,NA,3,5,4,4,3,4,4,3,5,5,5,5,3,4,4,4,4
A44,4288,4,5,5,5,4,4,5,4,4,4,4,5,5,5,4,5,4,4,4,5,5,5,4,5,5,4.52
A40,4282,4,3,4,5,5,4,4,5,1,4,2,4,4,4,4,3,4,4,4,4,4,5,4,4,4,3.88
A55,4310,4,4,4,5,5,5,3,5,4,4,5,5,3,4,5,5,5,5,4,5,5,5,3,5,5,4.48
A46,4306,4,3,3,4,5,5,5,3,5,3,4,2,4,4,5,4,4,3,3,4,5,4,4,5,5,4
A52,4315,4,5,5,5,4,5,5,5,5,5,1,5,4,5,4,5,5,5,5,4,5,5,5,5,5,4.64
A48,4319,4,3,4,4,4,5,5,4,3,4,4,4,4,5,5,4,5,5,5,5,4,4,4,5,5,4.32
A54,4300,4,3,4,3,3,4,4,3,5,2,5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,4.28
A63,4343,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4.88
A60,4363,4,4,5,5,5,5,5,5,4,4,4,4,5,4,4,5,5,5,5,5,5,5,5,NA,5,4.66666666666667
A61,4333,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,3,3,4,4,5,4,4,4,4,4,3.84
A64,4367,4,3,4,5,5,4,4,5,3,5,5,5,4,5,5,4,5,3,4,5,5,4,4,5,5,4.4
A72,4359,4,3,5,5,4,4,5,5,4,4,4,4,3,3,3,4,5,4,4,5,5,5,5,5,5,4.28
A79,4347,4,5,5,5,5,4,4,5,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,4.76
A77,4323,4,4,5,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,4,5,5,5,4,5,4.72
A66,4356,4,4,3,4,4,5,4,3,3,4,5,5,4,4,3,3,5,4,4,5,5,5,4,5,5,4.16
A67,4357,4,NA,5,5,5,4,4,4,4,3,4,4,4,4,5,3,4,4,5,4,5,4,5,4,4,4.20833333333333
A80,4339,4,4,4,4,3,4,4,3,4,3,4,4,4,5,4,5,4,4,4,5,5,4,4,5,5,4.12
A62,4373,4,4,3,4,3,5,4,3,4,4,4,5,4,5,4,4,5,5,5,5,5,5,5,5,5,4.36
A71,4348,4,4,5,5,4,5,4,4,3,5,4,4,3,3,3,4,5,5,4,4,5,4,5,5,5,4.24
A76,4355,4,3,4,4,4,4,3,4,3,3,4,3,3,3,3,3,4,4,4,5,4,4,4,4,4,3.68
A78,4364,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,3,4,4,4,3,4,4,3.8
A92,4413,4,4,4,4,4,4,3,4,2,2,3,2,3,2,3,4,4,3,4,5,5,3,4,5,5,3.6
A91,4415,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,4,3,3,4,4,3,3,4,4,3.64
A95,4421,4,5,4,4,4,5,4,4,5,4,4,5,4,4,3,4,5,3,3,5,5,4,3,5,5,4.2
A85,4410,4,4,5,4,4,4,4,4,4,4,4,5,5,4,4,5,5,5,4,5,5,4,4,5,5,4.4
A86,4411,4,4,4,4,3,4,4,3,3,4,4,4,4,5,3,4,5,3,4,4,5,4,4,4,5,3.96
A84,4404,4,5,5,5,5,5,5,5,2,4,3,2,2,2,2,4,4,4,3,5,5,4,4,5,5,3.96
A90,4419C,4,3,3,4,4,4,4,3,2,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,3.52
A89,4418,4,3,4,4,4,5,4,4,4,5,5,5,4,4,4,4,5,5,5,5,5,4,5,5,5,4.44
A82,4406,4,4,5,5,4,4,4,4,3,4,5,4,3,4,4,4,4,4,3,5,5,3,4,5,5,4.12
A97,4397,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,5,5,4,5,5,5,4,5,5,4.16
A96,4417,4,4,5,5,5,4,5,4,3,5,4,4,4,4,5,4,5,5,4,5,5,4,4,5,5,4.44
A112,4453,4,4,4,5,4,4,4,4,4,4,4,5,4,4,3,4,5,4,4,4,4,4,4,4,5,4.12
A106,4454,4,5,4,5,3,3,4,4,2,3,3,3,3,2,2,4,4,5,5,5,4,3,5,4,5,3.76
A99,4456,4,4,4,4,4,4,4,5,5,5,4,4,3,4,3,4,5,5,4,4,5,4,4,5,5,4.24
A107,4450,4,4,4,4,3,4,4,3,4,3,3,3,3,3,3,3,5,3,4,5,5,4,3,4,5,3.72
A102,4449,4,5,5,5,4,4,4,4,5,5,5,4,5,4,4,5,3,3,4,4,4,4,3,4,5,4.24
A101,4455,4,4,4,4,4,4,4,3,1,4,3,2,4,3,4,1,1,2,2,4,4,1,3,4,4,3.12
A111,4451,4,4,5,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.76
A113,4460,4,4,5,5,4,4,4,4,4,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4.6
A125,4378,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4.04
A119,4376,4,5,5,5,4,5,4,4,5,4,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5,4.68
A114,4390,4,3,4,4,3,4,4,4,4,5,4,4,4,3,5,5,4,4,4,4,4,4,5,5,5,4.12
A118,4379,4,4,4,5,4,4,4,3,5,4,4,4,4,4,4,4,5,5,5,4,4,4,5,4,5,4.24
A124,4380,4,5,5,5,4,5,5,4,3,5,5,4,4,4,5,5,5,4,5,5,5,5,5,5,5,4.64
A132,4335,4,4,4,4,5,4,4,4,3,5,4,3,3,4,5,4,4,3,3,4,5,4,3,4,5,3.96
A129,4279,4,4,4,4,3,5,4,4,4,4,4,4,2,3,4,4,5,4,4,4,4,4,4,4,4,3.92
A130,4281F,4,3,5,4,3,5,4,3,5,5,5,4,4,3,4,4,5,4,4,5,5,5,4,5,5,4.28
A131,4245,4,4,4,4,5,5,5,4,3,5,5,4,3,4,4,3,5,4,4,5,5,4,4,4,5,4.24
A135,4283,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,5,4.08
A137,4426,4,4,4,5,4,5,4,3,4,4,4,5,4,4,4,4,4,4,4,5,5,4,4,5,5,4.24
A140,4423,4,4,5,4,4,5,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.68
A145,4429,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
A139,4440,4,5,3,4,3,5,2,2,1,5,2,2,3,3,1,5,3,3,1,4,4,4,3,4,4,3.2
A148,4350,4,4,5,5,5,4,4,5,3,3,3,4,3,4,3,3,4,4,5,4,4,4,4,4,4,3.96
A167,4535,4,4,4,3,4,5,4,4,5,4,4,4,3,4,4,5,5,4,5,5,4,5,5,5,5,4.32
A171,4538F,4,5,5,5,4,5,4,4,4,4,4,5,4,4,4,4,5,4,4,4,5,4,4,4,4,4.28
A166,4564,4,4,4,5,4,4,4,4,4,5,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,4.48
A163,4538,4,4,4,4,3,4,4,4,5,5,5,5,5,4,5,5,4,5,5,5,5,4,5,5,5,4.52
A150,4545,4,4,5,4,4,5,4,4,4,5,5,5,5,4,4,4,5,4,5,4,5,5,5,5,4,4.48
A158,4533,4,4,5,5,4,5,5,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4.76
A153,4537,4,4,4,4,5,4,3,4,4,4,4,5,4,4,5,4,4,4,4,5,4,4,4,4,4,4.12
A168,4549,4,4,4,4,4,4,4,4,3,3,4,3,3,4,3,4,4,4,3,4,4,4,4,4,4,3.76
A155,4574,4,4,4,4,3,4,4,3,3,3,4,5,3,4,4,4,4,4,5,4,4,4,4,4,4,3.88
A152,45710,4,3,4,4,3,4,4,3,3,4,4,4,4,3,4,4,3,3,4,4,5,4,3,4,5,3.76
A149,4536,4,3,3,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,4,5,4,4,4,4,3.6
A160,4566,4,4,4,4,3,4,4,3,3,4,4,3,4,4,3,4,4,4,4,4,5,4,5,5,5,3.96
A169,4528,4,4,5,5,4,5,5,4,4,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4.68
A154,4562,4,3,4,5,4,4,4,4,5,3,4,4,5,4,4,4,4,3,4,5,4,4,4,4,4,4.04
A218,4527,4,4,4,3,3,4,4,2,1,2,3,3,2,4,3,4,3,3,3,4,4,3,3,4,4,3.24
A176,4465,4,3,4,4,4,4,3,4,3,2,4,4,3,5,3,3,5,3,4,5,5,4,3,5,5,3.84
A184,4517,4,3,4,4,4,4,4,4,5,5,5,5,4,4,5,5,5,5,4,5,5,5,4,5,5,4.48
A180,4488,4,4,5,5,5,5,4,5,3,4,5,4,3,5,5,4,5,4,5,4,5,5,4,5,5,4.48
A186,4498,4,4,4,5,3,4,4,4,4,2,4,4,3,4,4,5,4,4,4,5,5,5,5,5,5,4.16
A194,4514,4,4,4,4,5,5,4,5,3,3,4,4,4,4,4,5,5,5,4,5,5,4,4,4,4,4.24
A219,4494,4,4,5,4,5,5,4,5,3,3,4,4,4,4,5,4,5,4,4,5,5,5,5,4,4,4.32
A197,4478,4,5,5,4,4,5,4,3,4,5,5,5,4,5,3,4,5,5,5,5,4,2,5,5,5,4.4
A198,4524,4,4,4,4,3,5,4,3,4,5,5,4,3,4,5,3,4,4,5,4,5,4,3,5,4,4.08
A221,4490,4,2,4,4,4,3,4,4,3,2,3,5,3,3,4,5,4,3,4,5,3,4,5,4,4,3.72
A200,4500,4,5,4,4,4,4,5,4,4,4,4,4,4,4,5,5,5,4,4,5,5,5,4,5,5,4.4
A193,4515,4,4,3,3,3,4,4,3,5,4,5,5,4,4,3,5,5,4,4,5,5,5,4,5,5,4.2
A205,4502,4,5,4,4,5,4,3,5,5,3,4,4,4,5,3,4,4,4,4,4,4,5,3,4,4,4.08
A220,4513,4,4,5,4,3,5,3,3,4,4,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,4.44
A187,4492,4,5,5,4,5,4,5,4,4,5,4,5,5,5,4,4,5,5,4,5,4,5,4,4,4,4.48
A178,4466,4,3,4,5,5,5,5,5,4,5,5,5,3,3,4,5,5,4,3,5,5,5,4,5,5,4.44
A199,4491,4,4,4,4,3,4,4,3,3,4,4,5,4,4,3,4,4,4,4,4,5,4,4,4,4,3.92
A185,4503,4,5,4,5,5,4,5,5,4,3,4,5,4,4,4,3,5,4,4,4,4,4,4,4,5,4.24
A196,4505,4,4,5,5,4,4,4,4,4,3,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4.52
A210,4372,4,4,4,4,4,4,3,4,4,4,4,4,4,5,3,4,4,4,4,4,4,4,4,4,3,3.92
A211,4381R,4,5,4,5,4,4,5,4,5,5,4,4,4,3,4,5,5,4,5,5,5,5,5,5,5,4.52
A217,4310R,4,3,3,4,4,4,3,3,4,3,4,4,3,3,4,4,3,3,4,3,3,4,3,3,4,3.48
A208,4281,4,3,4,4,4,4,4,4,3,4,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,3.92
A215,4353,4,4,4,5,5,5,5,4,4,5,5,5,5,4,5,4,5,5,4,5,5,5,5,5,5,4.68
A212,4297,4,5,3,4,3,5,3,3,3,4,4,5,4,4,4,4,4,3,4,5,4,4,4,5,5,4
A222,4712,4,4,5,5,4,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4.8
A226,4697,4,4,4,4,4,3,4,3,5,1,4,3,2,3,4,4,4,4,4,5,5,4,4,5,5,3.84
A229,?,4,5,4,5,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,5,5,4,5,5,5,4.28
A234,4717,4,4,5,5,4,4,4,4,3,4,5,5,4,4,4,4,5,5,4,5,5,5,5,5,5,4.44
A237,4716,4,5,4,5,4,4,4,4,4,4,4,4,3,5,5,5,5,5,5,5,5,4,4,5,5,4.44
